"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"baseline_30y"
"02/20/2026 23:17:58:214 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"5","0.52","2.81","1.56","1","3.36","1.66","11","670","95","575","0.1417910447761194"
"12","0.52","2.81","1.56","1","3.36","1.66","13","685","92","593","0.1343065693430657"
"9","0.52","2.81","1.56","1","3.36","1.66","13","651","106","545","0.16282642089093702"
"10","0.52","2.81","1.56","1","3.36","1.66","10","645","82","563","0.12713178294573643"
"4","0.52","2.81","1.56","1","3.36","1.66","17","665","104","561","0.15639097744360902"
"11","0.52","2.81","1.56","1","3.36","1.66","9","650","86","564","0.13230769230769232"
"8","0.52","2.81","1.56","1","3.36","1.66","11","658","96","562","0.1458966565349544"
"3","0.52","2.81","1.56","1","3.36","1.66","17","660","76","584","0.11515151515151516"
"1","0.52","2.81","1.56","1","3.36","1.66","17","675","92","583","0.1362962962962963"
"2","0.52","2.81","1.56","1","3.36","1.66","17","687","114","573","0.16593886462882096"
"5","0.52","2.81","1.56","1","3.36","1.66","12","674","93","581","0.13798219584569732"
"7","0.52","2.81","1.56","1","3.36","1.66","9","676","66","610","0.09763313609467456"
"6","0.52","2.81","1.56","1","3.36","1.66","13","664","66","598","0.09939759036144578"
"9","0.52","2.81","1.56","1","3.36","1.66","14","652","107","545","0.16411042944785276"
"8","0.52","2.81","1.56","1","3.36","1.66","12","655","97","558","0.1480916030534351"
"2","0.52","2.81","1.56","1","3.36","1.66","18","688","116","572","0.1686046511627907"
"1","0.52","2.81","1.56","1","3.36","1.66","18","679","94","585","0.13843888070692195"
"4","0.52","2.81","1.56","1","3.36","1.66","18","665","103","562","0.1548872180451128"
"11","0.52","2.81","1.56","1","3.36","1.66","10","652","88","564","0.13496932515337423"
"12","0.52","2.81","1.56","1","3.36","1.66","14","683","94","589","0.1376281112737921"
"10","0.52","2.81","1.56","1","3.36","1.66","11","648","81","567","0.125"
"3","0.52","2.81","1.56","1","3.36","1.66","18","661","75","586","0.11346444780635401"
"5","0.52","2.81","1.56","1","3.36","1.66","13","675","96","579","0.14222222222222222"
"7","0.52","2.81","1.56","1","3.36","1.66","10","684","69","615","0.10087719298245613"
"6","0.52","2.81","1.56","1","3.36","1.66","14","664","67","597","0.10090361445783133"
"1","0.52","2.81","1.56","1","3.36","1.66","19","670","93","577","0.13880597014925372"
"8","0.52","2.81","1.56","1","3.36","1.66","13","650","100","550","0.15384615384615385"
"9","0.52","2.81","1.56","1","3.36","1.66","15","649","110","539","0.1694915254237288"
"2","0.52","2.81","1.56","1","3.36","1.66","19","687","119","568","0.17321688500727803"
"12","0.52","2.81","1.56","1","3.36","1.66","15","684","96","588","0.14035087719298245"
"5","0.52","2.81","1.56","1","3.36","1.66","14","671","98","573","0.14605067064083457"
"11","0.52","2.81","1.56","1","3.36","1.66","11","651","87","564","0.1336405529953917"
"10","0.52","2.81","1.56","1","3.36","1.66","12","652","80","572","0.12269938650306748"
"3","0.52","2.81","1.56","1","3.36","1.66","19","661","78","583","0.11800302571860817"
"4","0.52","2.81","1.56","1","3.36","1.66","19","667","105","562","0.15742128935532235"
"9","0.52","2.81","1.56","1","3.36","1.66","16","645","108","537","0.16744186046511628"
"8","0.52","2.81","1.56","1","3.36","1.66","14","656","105","551","0.1600609756097561"
"12","0.52","2.81","1.56","1","3.36","1.66","16","687","100","587","0.14556040756914118"
"2","0.52","2.81","1.56","1","3.36","1.66","20","683","121","562","0.17715959004392387"
"1","0.52","2.81","1.56","1","3.36","1.66","20","674","94","580","0.1394658753709199"
"5","0.52","2.81","1.56","1","3.36","1.66","15","672","101","571","0.15029761904761904"
"9","0.52","2.81","1.56","1","3.36","1.66","17","649","112","537","0.17257318952234207"
"11","0.52","2.81","1.56","1","3.36","1.66","12","649","88","561","0.13559322033898305"
"8","0.52","2.81","1.56","1","3.36","1.66","15","656","108","548","0.16463414634146342"
"7","0.52","2.81","1.56","1","3.36","1.66","11","677","71","606","0.10487444608567208"
