"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"high_inflow_share_30y"
"02/20/2026 23:18:46:501 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"173","0.7","2.81","1.56","1","3.36","1.66","16","664","89","575","0.13403614457831325"
"173","0.7","2.81","1.56","1","3.36","1.66","17","664","92","572","0.13855421686746988"
"173","0.7","2.81","1.56","1","3.36","1.66","18","669","95","574","0.14200298953662183"
"173","0.7","2.81","1.56","1","3.36","1.66","19","668","98","570","0.1467065868263473"
"173","0.7","2.81","1.56","1","3.36","1.66","20","668","103","565","0.15419161676646706"
"173","0.7","2.81","1.56","1","3.36","1.66","21","665","105","560","0.15789473684210525"
"173","0.7","2.81","1.56","1","3.36","1.66","22","666","111","555","0.16666666666666666"
"173","0.7","2.81","1.56","1","3.36","1.66","23","673","116","557","0.1723625557206538"
"173","0.7","2.81","1.56","1","3.36","1.66","24","671","121","550","0.18032786885245902"
"173","0.7","2.81","1.56","1","3.36","1.66","25","669","122","547","0.18236173393124067"
"173","0.7","2.81","1.56","1","3.36","1.66","26","671","121","550","0.18032786885245902"
"173","0.7","2.81","1.56","1","3.36","1.66","27","671","122","549","0.18181818181818182"
"173","0.7","2.81","1.56","1","3.36","1.66","28","674","121","553","0.1795252225519288"
"171","0.7","2.81","1.56","1","3.36","1.66","6","668","77","591","0.11526946107784432"
"164","0.7","2.81","1.56","1","3.36","1.66","25","660","125","535","0.1893939393939394"
"170","0.7","2.81","1.56","1","3.36","1.66","10","701","120","581","0.17118402282453637"
"169","0.7","2.81","1.56","1","3.36","1.66","11","690","104","586","0.15072463768115943"
"168","0.7","2.81","1.56","1","3.36","1.66","13","674","109","565","0.16172106824925817"
"167","0.7","2.81","1.56","1","3.36","1.66","15","705","132","573","0.18723404255319148"
"165","0.7","2.81","1.56","1","3.36","1.66","19","690","126","564","0.1826086956521739"
"164","0.7","2.81","1.56","1","3.36","1.66","26","657","129","528","0.1963470319634703"
"164","0.7","2.81","1.56","1","3.36","1.66","27","654","130","524","0.19877675840978593"
"164","0.7","2.81","1.56","1","3.36","1.66","28","657","134","523","0.2039573820395738"
"164","0.7","2.81","1.56","1","3.36","1.66","29","659","140","519","0.212443095599393"
"162","0.7","2.81","1.56","1","3.36","1.66","22","685","142","543","0.2072992700729927"
"172","0.7","2.81","1.56","1","3.36","1.66","3","661","76","585","0.11497730711043873"
"163","0.7","2.81","1.56","1","3.36","1.66","18","674","117","557","0.17359050445103857"
"173","0.7","2.81","1.56","1","3.36","1.66","29","675","121","554","0.17925925925925926"
