scenario,run,first_step_ge_0_5,first_step_ge_0_75,first_step_ge_0_95
no_migration_30y,39,,,
no_migration_30y,40,,,
no_migration_30y,41,,,
no_migration_30y,42,,,
no_migration_30y,43,,,
no_migration_30y,44,,,
no_migration_30y,45,,,
no_migration_30y,46,,,
no_migration_30y,47,,,
no_migration_30y,48,,,
no_migration_30y,49,,,
no_migration_30y,50,,,
no_migration_30y,51,,,
no_migration_30y,52,,,
no_migration_30y,53,,,
no_migration_30y,54,,,
no_migration_30y,55,,,
no_migration_30y,56,,,
no_migration_30y,57,,,
no_migration_30y,58,,,
no_migration_30y,59,,,
no_migration_30y,60,,,
no_migration_30y,61,,,
no_migration_30y,62,,,
no_migration_30y,63,,,
no_migration_30y,64,,,
no_migration_30y,65,,,
no_migration_30y,66,,,
no_migration_30y,67,,,
no_migration_30y,68,,,
no_migration_30y,69,,,
no_migration_30y,70,,,
no_migration_30y,71,,,
no_migration_30y,72,,,
no_migration_30y,73,,,
no_migration_30y,74,,,
no_migration_30y,75,,,
no_migration_30y,76,,,
no_migration_30y,77,,,
no_migration_30y,78,,,
no_migration_30y,79,,,
no_migration_30y,80,,,
no_migration_30y,81,,,
no_migration_30y,82,,,
no_migration_30y,83,,,
no_migration_30y,84,,,
no_migration_30y,85,,,
no_migration_30y,86,,,
no_migration_30y,87,,,
no_migration_30y,88,,,
no_migration_30y,89,,,
no_migration_30y,90,,,
no_migration_30y,91,,,
no_migration_30y,92,,,
no_migration_30y,93,,,
no_migration_30y,94,,,
no_migration_30y,95,,,
no_migration_30y,96,,,
no_migration_30y,97,,,
no_migration_30y,98,,,
no_migration_30y,99,,,
no_migration_30y,100,,,
no_migration_30y,101,,,
no_migration_30y,102,,,
no_migration_30y,103,,,
no_migration_30y,104,,,
no_migration_30y,105,,,
no_migration_30y,106,,,
no_migration_30y,107,,,
no_migration_30y,108,,,
no_migration_30y,109,,,
no_migration_30y,110,,,
no_migration_30y,111,,,
no_migration_30y,112,,,
no_migration_30y,113,,,
no_migration_30y,114,,,
no_migration_30y,115,,,
no_migration_30y,116,,,
no_migration_30y,117,,,
no_migration_30y,118,,,
no_migration_30y,119,,,
no_migration_30y,120,,,
no_migration_30y,121,,,
no_migration_30y,122,,,
no_migration_30y,123,,,
no_migration_30y,124,,,
no_migration_30y,125,,,
no_migration_30y,126,,,
no_migration_30y,127,,,
no_migration_30y,128,,,
no_migration_30y,129,,,
no_migration_30y,130,,,
no_migration_30y,131,,,
